Load Balancer Simulation Log
Servers: 10, Cycles: 10000
Task Time Range: 10-100 clock cycles
Starting Queue Size: 1000 requests
Dynamic Scaling: Enabled (80% threshold for scale up, 40% for scale down)
Request Types: GET, POST, PUT, DELETE
Priority Levels: 1-10
Server Capacity: 10 concurrent requests per server
----------------------------------------
Cycle    | Servers | Queue | Processed | System Util | Queue Util | Active | Inactive | Rejected
Cycle  2800 | Servers: 14 | Queue:    0 | Processed:   1386 | System Util:   7.1% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  2900 | Servers: 14 | Queue:    0 | Processed:   1401 | System Util:   8.6% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  3000 | Servers: 14 | Queue:    0 | Processed:   1415 | System Util:  12.9% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  3100 | Servers: 14 | Queue:    0 | Processed:   1433 | System Util:  10.0% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  3200 | Servers: 14 | Queue:    0 | Processed:   1449 | System Util:  10.0% | Queue Util:   0.0% | Active: 14 | Inactive:  0 | Rejected:  0
Cycle  3300 | Servers:  4 | Queue:    0 | Processed:   1456 | System Util:  15.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  3400 | Servers:  4 | Queue:    0 | Processed:   1463 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  3500 | Servers:  4 | Queue:    0 | Processed:   1478 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  3600 | Servers:  4 | Queue:    0 | Processed:   1496 | System Util:  55.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  3700 | Servers:  4 | Queue:    0 | Processed:   1515 | System Util:  25.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  3800 | Servers:  4 | Queue:    0 | Processed:   1528 | System Util:  35.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  3900 | Servers:  4 | Queue:    0 | Processed:   1544 | System Util:  25.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4000 | Servers:  4 | Queue:    0 | Processed:   1556 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4100 | Servers:  4 | Queue:    0 | Processed:   1574 | System Util:  20.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4200 | Servers:  4 | Queue:    0 | Processed:   1579 | System Util:  40.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4300 | Servers:  4 | Queue:    0 | Processed:   1594 | System Util:  50.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4400 | Servers:  4 | Queue:    0 | Processed:   1611 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4500 | Servers:  4 | Queue:    0 | Processed:   1625 | System Util:  25.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4600 | Servers:  4 | Queue:    0 | Processed:   1639 | System Util:  25.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4700 | Servers:  4 | Queue:    0 | Processed:   1651 | System Util:  40.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4800 | Servers:  4 | Queue:    0 | Processed:   1661 | System Util:  75.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  4900 | Servers:  4 | Queue:    0 | Processed:   1681 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5000 | Servers:  4 | Queue:    0 | Processed:   1690 | System Util:  60.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5100 | Servers:  4 | Queue:    0 | Processed:   1711 | System Util:  35.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5200 | Servers:  4 | Queue:    0 | Processed:   1723 | System Util:  50.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5300 | Servers:  4 | Queue:    0 | Processed:   1735 | System Util:  40.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5400 | Servers:  4 | Queue:    0 | Processed:   1749 | System Util:  50.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5500 | Servers:  4 | Queue:    0 | Processed:   1762 | System Util:  15.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5600 | Servers:  4 | Queue:    0 | Processed:   1771 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5700 | Servers:  4 | Queue:    0 | Processed:   1784 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5800 | Servers:  4 | Queue:    0 | Processed:   1796 | System Util:  25.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  5900 | Servers:  4 | Queue:    0 | Processed:   1812 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6000 | Servers:  4 | Queue:    0 | Processed:   1826 | System Util:  15.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6100 | Servers:  4 | Queue:    0 | Processed:   1838 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6200 | Servers:  4 | Queue:    0 | Processed:   1852 | System Util:  15.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6300 | Servers:  4 | Queue:    0 | Processed:   1862 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6400 | Servers:  4 | Queue:    0 | Processed:   1882 | System Util:  60.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6500 | Servers:  4 | Queue:    0 | Processed:   1902 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6600 | Servers:  4 | Queue:    0 | Processed:   1918 | System Util:  55.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6700 | Servers:  4 | Queue:    0 | Processed:   1935 | System Util:  40.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6800 | Servers:  4 | Queue:    0 | Processed:   1950 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  6900 | Servers:  4 | Queue:    0 | Processed:   1963 | System Util:  55.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7000 | Servers:  4 | Queue:    0 | Processed:   1980 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7100 | Servers:  4 | Queue:    0 | Processed:   1993 | System Util:  70.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7200 | Servers:  4 | Queue:    0 | Processed:   2014 | System Util:  65.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7300 | Servers:  4 | Queue:    0 | Processed:   2036 | System Util:  50.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7400 | Servers:  4 | Queue:    0 | Processed:   2049 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7500 | Servers:  4 | Queue:    0 | Processed:   2066 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7600 | Servers:  4 | Queue:    0 | Processed:   2079 | System Util:  35.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7700 | Servers:  4 | Queue:    0 | Processed:   2093 | System Util:  10.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7800 | Servers:  4 | Queue:    0 | Processed:   2103 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  7900 | Servers:  4 | Queue:    0 | Processed:   2115 | System Util:  40.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8000 | Servers:  4 | Queue:    0 | Processed:   2128 | System Util:  60.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8100 | Servers:  4 | Queue:    0 | Processed:   2146 | System Util:  60.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8200 | Servers:  4 | Queue:    0 | Processed:   2165 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8300 | Servers:  4 | Queue:    0 | Processed:   2178 | System Util:  40.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8400 | Servers:  4 | Queue:    0 | Processed:   2195 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8500 | Servers:  4 | Queue:    0 | Processed:   2210 | System Util:  65.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8600 | Servers:  4 | Queue:    0 | Processed:   2229 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8700 | Servers:  4 | Queue:    0 | Processed:   2246 | System Util:  30.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8800 | Servers:  4 | Queue:    0 | Processed:   2258 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  8900 | Servers:  4 | Queue:    0 | Processed:   2269 | System Util:  40.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9000 | Servers:  4 | Queue:    0 | Processed:   2284 | System Util:  40.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9100 | Servers:  4 | Queue:    0 | Processed:   2297 | System Util:  55.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9200 | Servers:  4 | Queue:    0 | Processed:   2311 | System Util:  20.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9300 | Servers:  4 | Queue:    0 | Processed:   2321 | System Util:  45.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9400 | Servers:  4 | Queue:    0 | Processed:   2334 | System Util:  75.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9500 | Servers:  4 | Queue:    0 | Processed:   2352 | System Util:  60.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9600 | Servers:  4 | Queue:    0 | Processed:   2364 | System Util:   0.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9700 | Servers:  4 | Queue:    0 | Processed:   2364 | System Util:   0.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9800 | Servers:  4 | Queue:    0 | Processed:   2364 | System Util:   0.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle  9900 | Servers:  4 | Queue:    0 | Processed:   2364 | System Util:   0.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
Cycle 10000 | Servers:  4 | Queue:    0 | Processed:   2364 | System Util:   0.0% | Queue Util:   0.0% | Active:  4 | Inactive:  0 | Rejected:  0
----------------------------------------
ENDING QUEUE SIZE: 0 requests
FINAL STATUS:
- Total requests processed: 2364
- Average processing time: 0.00 cycles
- Final system utilization: 0.0%
- Final active servers: 4
- Remaining requests in queue: 0
- Rejected/discarded requests: 0
